DCTPep00001	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00002	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00003	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00004	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00005	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00006	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00007	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00008	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00009	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00010	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00011	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00012	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00013	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00015	1.0,0.0,0.0,0.0,0.0,0.0
DCTPep00016	1.0,0.0,0.0,0.0,0.0,0.0
DCTPep00017	1.0,0.0,0.0,0.0,0.0,0.0
DCTPep00018	1.0,0.0,0.0,0.0,0.0,0.0
DCTPep00019	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00020	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00021	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00022	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00023	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00024	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00026	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00027	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00028	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00029	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00030	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00031	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00032	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00033	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00034	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00035	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00036	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00037	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00038	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00039	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00040	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00041	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00042	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00043	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00044	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00045	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00046	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00047	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00048	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00049	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00050	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00051	1.0,0.0,0.0,0.0,0.0,0.0
DCTPep00052	1.0,0.0,0.0,0.0,0.0,0.0
DCTPep00053	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00054	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00055	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00056	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00057	1.0,0.0,0.0,0.0,1.0,0.0
DCTPep00058	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00059	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00060	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00061	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00062	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00063	1.0,0.0,1.0,0.0,0.0,0.0
DCTPep00064	1.0,0.0,1.0,0.0,0.0,0.0
